datetime,cap_weighted_index,ponderated_index,MV,LV,HV,LB,HB,LB_EW,HB_EW
2020-12-06 00:00:00+00:00,632.3395997821107,7420.499177747453,413.7946845816272,44.19815542425869,5412297774.511881,389616681.2841082,165.70902093597803,279984385.98544174,155.2414535241402
2020-12-07 00:00:00+00:00,626.6870592848861,7547.0204307132735,408.63846952191534,44.19117619625227,5942581502.29779,436152503.51761466,165.17372253664675,316139888.75780135,155.8584678476551
2020-12-08 00:00:00+00:00,594.6900471685226,7132.149034877145,402.5774222276798,42.52095247203731,5829010582.0523205,424967925.78912365,154.96117505768865,308555639.5782598,145.36259645402646
2020-12-09 00:00:00+00:00,605.6564584166507,7215.40319428089,407.5367415184058,42.4453681214952,5722064752.588364,419837156.87792504,159.11472853729123,302856807.5900045,148.58412039695943
2020-12-10 00:00:00+00:00,595.088305915746,7243.752500189652,399.47192069469537,41.918442723096604,6237720851.531413,454146191.87163347,155.82259665510168,328971651.3051724,144.27054811776017
2020-12-11 00:00:00+00:00,585.7495748261637,7160.385517546011,406.9374797881816,41.40201421073563,6416230107.923167,457089122.5499754,151.94674165512,333432493.3997909,141.1096703392836
2020-12-12 00:00:00+00:00,607.1548216282296,7527.882098288701,420.1395864416173,43.1224487556096,6648815481.662139,489415509.13961875,158.1943674755805,361873642.89912,145.58310268733015
2020-12-13 00:00:00+00:00,620.3969611785169,7588.0775273557165,423.54142715873746,43.4715747574071,6355013615.217883,476392549.5768673,162.5007085048108,349633953.39736193,149.82110980634152
2020-12-14 00:00:00+00:00,621.5026002501373,7581.012594040493,421.77596825637085,44.131605873937836,6302068988.918657,475783923.4454033,164.49512184444282,344813393.6953809,151.1360598304717
2020-12-15 00:00:00+00:00,624.4672858146408,7598.109201693226,420.03115562884074,44.03917118307643,6314633353.293335,462840822.832084,168.23483698810512,334595286.97675884,154.22732629142035
2020-12-16 00:00:00+00:00,686.9346723939473,7923.491335849922,423.8027339843016,45.3799736097729,6524222810.248231,487305445.99933,178.6554834540206,355136481.44684005,163.41588978096476
2020-12-17 00:00:00+00:00,726.4314452613265,8081.84573546254,440.5602511582649,45.67593560894363,6925976364.848217,520890027.43470854,179.2683209824546,377855609.35593134,163.86207868106172
2020-12-18 00:00:00+00:00,738.2312032118597,8265.715984835804,436.9355290693862,46.57496413543779,7168135813.956615,524392369.7305338,183.49688205616908,373391714.3485886,167.86678168694164
2020-12-19 00:00:00+00:00,757.7803574166611,8784.32414108806,438.1675506543119,47.20599155977335,8844638301.974596,614751877.3833976,185.8463900365772,436170126.4509499,170.0466671154726
2020-12-20 00:00:00+00:00,742.7607449189547,8558.703328990838,434.9916369296862,47.10277014748902,8386990682.338312,584606025.267057,183.66543257431326,419213735.2201546,167.09709639925796
2020-12-21 00:00:00+00:00,717.4769394300648,8216.680261270367,425.21285782159157,45.389018176724285,8019223850.302288,561080605.6882089,175.62777585622507,407314952.7619185,159.26335453393088
2020-12-22 00:00:00+00:00,734.7533345021544,8369.046324754006,418.62783347836216,45.14528305226552,8564627116.178568,610746013.406853,177.10760302608747,443509718.87897223,160.0925693731715
2020-12-23 00:00:00+00:00,711.4360245910814,7560.437360975777,405.84100384719363,41.485490605025475,8038504332.569861,582631354.7406628,152.37069880898076,422697201.50011426,140.04804407711597
2020-12-24 00:00:00+00:00,738.3373342488932,7994.252080381378,405.14720055874926,43.580234585223735,8251690121.461044,593098134.2706691,168.07457670626374,421581545.8865522,153.26059616666973
2020-12-25 00:00:00+00:00,763.8003202990809,8088.114803493373,434.59693463570994,44.08713482299693,8314611035.761518,597757411.8574784,170.76547834963696,425428550.2335134,155.14240928258926
2020-12-26 00:00:00+00:00,808.9490305436391,8237.951159406615,441.35767186270795,44.19215307634911,8437741711.156781,626280918.8516483,172.76492519095834,444571599.0428756,157.28065110704216
2020-12-27 00:00:00+00:00,811.5664268036116,8377.340769543918,427.81175714425706,43.786147534704526,9412634453.434132,638912649.5318418,172.20273485015966,453371961.5299831,159.5193487502933
2020-12-28 00:00:00+00:00,838.0761192606366,8427.582744537527,434.9115941819126,45.01875407134804,9023123435.25997,644235029.8129586,175.019628393375,458077863.82216823,163.4029417350435
2020-12-29 00:00:00+00:00,843.1297476386799,8279.49239796254,431.086660359256,43.650868502201234,9022095342.741007,624951983.5602392,170.3184155951848,443408002.0606582,160.0422848337867
2020-12-30 00:00:00+00:00,882.265652902159,8432.05733215347,449.0044835165989,43.78191222232451,9553330850.524858,667591125.2984551,169.22704317870844,480731262.09949887,158.94360490154514
2020-12-31 00:00:00+00:00,884.1128073469124,8759.250789773972,445.0323409489624,43.43288045754932,11548483005.640919,801279958.5750394,168.65960487884652,574883151.0204424,157.6639248815882
2021-01-01 00:00:00+00:00,893.5288666201416,8807.158165799105,438.8992488156771,44.00286301506599,11559878804.331911,781291772.7807596,169.6444069615044,565368578.0356374,156.26169265074486
2021-01-02 00:00:00+00:00,971.010162544101,9157.17920627265,452.8611234888902,44.4566391434392,12930074583.117346,860591838.5514375,179.5039671532716,608399505.9514107,157.7900756129296
2021-01-03 00:00:00+00:00,1027.6033354068393,9743.26253196641,464.64405997808205,46.564612958587304,14206550063.928656,878111278.85836,189.4025182931028,642952158.1839257,167.50754623213314
2021-01-04 00:00:00+00:00,1019.5155246712247,9812.549280186602,481.1767679513358,47.5431493177105,13601632610.700893,886470729.6593306,191.66578246024767,638628170.5904272,168.7976718289951
2021-01-05 00:00:00+00:00,1080.9496588004765,10749.295748903982,509.72959930199994,49.418847982317985,17762085023.920822,1120936433.1563067,197.51389658212887,838263994.329757,174.47189324956983
2021-01-06 00:00:00+00:00,1180.5148420465096,11844.224736011938,526.7261360544285,51.95862094226109,20442469057.84115,1233320642.6487339,212.98863697536325,917464163.5280701,187.41667945704123
2021-01-07 00:00:00+00:00,1253.9647337727886,12397.974419645081,556.7468750213377,53.33709974954564,21486529467.11195,1289661549.8733172,220.06981229257948,957191350.906936,194.29864724510844
2021-01-08 00:00:00+00:00,1289.3884106826108,12217.2668137811,574.2710909273651,53.44772956087108,19786737967.6749,1204852355.651941,219.72573564325043,903866219.2608688,193.03190102201697
2021-01-09 00:00:00+00:00,1287.7116846192973,13235.211908905356,591.5628994835099,56.41669785045947,25139636082.729866,1549349126.0467432,232.10216582780595,1131755539.4778595,207.49258984588593
2021-01-10 00:00:00+00:00,1237.8896393942775,13039.485274236125,591.9966825709575,57.8991172091562,23494282679.490314,1447536806.794681,243.06953745188196,1056798959.7397206,219.64048918114852
2021-01-11 00:00:00+00:00,1133.220319013005,12062.272503313248,565.3507177679763,52.09457694205495,22966942910.54488,1399137198.3803973,214.6357181818943,1009686587.1760437,192.60358568135686
2021-01-12 00:00:00+00:00,1084.3355635700577,11653.210626067152,542.1962125700703,50.851714195313114,21111329278.66287,1281418689.9790912,210.40378168380323,944659858.4774524,189.3203862621919
2021-01-13 00:00:00+00:00,1188.825262406595,12582.879648452325,563.0972825991643,53.54931624042766,23191363598.35605,1423451469.616304,228.70866107289456,1034667652.4912963,205.51990126741075
2021-01-14 00:00:00+00:00,1249.9430237279103,12854.127277095015,570.8579266509014,54.5532866247518,23371574666.262253,1455341009.6249413,232.18718068919026,1047657050.2852058,208.47238367080064
2021-01-15 00:00:00+00:00,1180.060320410221,12584.534776351857,551.3787226123201,53.260985677775686,22708358393.278873,1411838705.4206312,226.6739496666681,1021273361.1736838,206.9740522726187
2021-01-16 00:00:00+00:00,1174.8740603702374,12748.977900964968,560.0717951249143,55.15233112761228,22044811164.038624,1342351109.71811,230.51987689229523,971271989.2913043,211.84079072683338
2021-01-17 00:00:00+00:00,1164.92653410062,13497.106147926323,568.9156883442888,55.652069699465514,27003387138.152527,1633854868.2354617,231.25175757180241,1182025039.8397303,219.13691656305136
2021-01-18 00:00:00+00:00,1192.8240086335259,13694.79780000474,582.4107159340598,56.859121830979745,26293590648.927258,1606457755.8578155,238.43800975898043,1165059065.5756798,225.73389196214103
2021-01-19 00:00:00+00:00,1199.7831588173997,13750.61608362633,606.0311135056604,57.8190918090177,25800812338.08485,1621532407.4322963,237.76375128952006,1176660521.0178456,224.09337513774972
2021-01-20 00:00:00+00:00,1186.834961094923,13971.24981901683,599.8773281114144,57.5949873950888,28000847953.266514,1744106343.6588097,238.4232005875712,1284348052.6783051,222.10646364625308
