datetime,cap_weighted_index,CW_noBTC,ponderated_index,MV,LV,HV,LB,HB,LB_EW,HB_EW,LB_noBTC,HB_noBTC
2016-07-18 00:00:00+00:00,119.79127115852552,51.209891029084154,1114.857419774714,793.9669572302861,153.4548010719372,2627.088964211002,4893.2384018533785,159.48493134871993,4893.2384018533785,159.48493134871993,5366.565929917313,140.16036297622975
2016-07-19 00:00:00+00:00,119.69564103844417,50.76793460278341,1120.4498810731072,783.1449980066056,153.18466467734112,2761.9807239982197,5067.2621959609405,155.41303672330307,5067.2621959609405,155.41303672330307,5557.4232084220475,136.58185418625825
2016-07-20 00:00:00+00:00,118.46771494396108,50.48886887009918,1123.9936658801378,777.3186653846601,152.16521384000282,2898.380718803533,5116.742464796316,154.8785637476302,5116.742464796316,154.8785637476302,5611.689749948925,136.11214256123023
2016-07-21 00:00:00+00:00,118.39768942176853,50.75667550331504,1112.9092440051386,783.1451373818343,153.65195905862842,2764.1064553427022,4985.060341452219,155.8097334585443,4985.060341452219,155.8097334585443,5467.269891629752,136.9304837271979
2016-07-22 00:00:00+00:00,115.9002912813196,50.27297200254183,1082.736026147015,772.3127187195877,153.34118976962935,2607.1170668370855,4754.217089025476,154.57618349213544,4754.217089025476,154.57618349213544,5214.096955450013,135.84640130273903
2016-07-23 00:00:00+00:00,116.84054269297349,51.111817033131445,1111.1610175833248,793.6089936473826,156.1463961301204,2561.881121357826,4828.602765232706,160.2738006249473,4828.602765232706,160.2738006249473,5295.678027701958,140.85364605420943
2016-07-24 00:00:00+00:00,117.76274919961732,50.79036833664653,1084.1960705312085,781.0344469207257,155.61503536890024,2454.250735940071,4654.401920904303,158.27713190894232,4654.401920904303,158.27713190894232,5104.626572742897,139.09891092273406
2016-07-25 00:00:00+00:00,116.49748999853612,50.328865205798415,1058.5289226199961,767.120681807373,154.08822783413714,2293.4655334743898,4498.259296826908,156.0928289929199,4498.259296826908,156.0928289929199,4933.380126572554,137.17927696753404
2016-07-26 00:00:00+00:00,115.90474316823156,48.759347157320846,1011.7247008960255,746.0754122158202,150.3760986554053,2112.291040707244,4229.429754576266,151.61771566659536,4229.429754576266,151.61771566659536,4638.546451219414,133.24640692850863
2016-07-27 00:00:00+00:00,116.3332119854986,48.82814430213593,1014.3901852862784,743.1420683195182,151.15029194303008,2120.6588956562177,4220.585077372911,152.7336844095076,4220.585077372911,152.7336844095076,4628.846220116294,134.22715528356605
2016-07-28 00:00:00+00:00,116.46276562245855,48.85626156493588,1012.1859331498058,748.8051363273019,152.02184094825196,2047.7124213072873,4209.701814179359,152.46375049885052,4209.701814179359,152.46375049885052,4616.910208693118,133.98992889122076
2016-07-29 00:00:00+00:00,116.92797179179905,49.925554216719455,1021.1024832719767,755.2578778587156,153.54549997110007,2072.5670001148546,4236.204907207799,154.19004969350988,4236.204907207799,154.19004969350988,4645.976970702913,135.50705480200654
2016-07-30 00:00:00+00:00,116.61655199477204,50.04185908667623,1024.782983136539,760.1252417955652,152.69288041695245,2080.99089532901,4238.088143575466,155.23304009004605,4238.088143575466,155.23304009004605,4648.042374286128,136.42366749590167
2016-07-31 00:00:00+00:00,111.38231883538742,49.03730999609668,1009.1672214115729,744.2982365650876,149.71708105550303,2081.4428478394357,4230.190645832369,150.79139221600596,4230.190645832369,150.79139221600596,4639.380944198509,132.52020794663025
2016-08-01 00:00:00+00:00,108.17722283264561,48.123329812136326,989.3482904195947,728.2460251966736,148.69442060289836,2037.3619834097433,4112.444071634005,149.06588952447524,4112.444071634005,149.06588952447524,4510.244633730152,131.00378202779154
2016-08-02 00:00:00+00:00,97.90563713719848,45.232016746000554,888.8319264130944,676.8883273231025,138.05880819581864,1779.3060241269636,3617.1493854155983,136.7293323065189,3617.1493854155983,136.7293323065189,3967.039629183055,120.16202837167309
2016-08-03 00:00:00+00:00,101.1672930233041,45.83773125509589,922.1470899600038,691.6101326229386,141.0513863679623,1866.6875910014255,3800.4301386746633,140.05103181456974,3800.4301386746633,140.05103181456974,4168.049301157577,123.08124214822975
2016-08-04 00:00:00+00:00,103.38431819325126,47.658304035733664,952.0121244432046,714.7383472860009,143.69984241013302,1912.307237619062,3868.2305621455575,146.62399427753542,3868.2305621455575,146.62399427753542,4242.408123015727,128.8577678478522
2016-08-05 00:00:00+00:00,103.11328914910224,49.96442412285925,992.6021917394432,736.0150262918302,148.6535303498122,2006.7451939539233,4087.216593315678,150.8263468987032,4087.216593315678,150.8263468987032,4482.576877834674,132.55092721880936
2016-08-06 00:00:00+00:00,105.32140561741315,50.44037596611833,1074.5031885238773,751.5773792667836,154.31318227783416,2736.471173346814,4663.708735876347,154.44243692581153,4663.708735876347,154.44243692581153,5114.833644633387,135.72886062272457
2016-08-07 00:00:00+00:00,106.11411648227723,50.13775102895072,1068.7667338599767,755.0095689706965,158.3258923655493,2640.9466575648376,4610.433632842132,154.55763951486406,4610.433632842132,154.55763951486406,5056.4051910456865,135.83010427352502
2016-08-08 00:00:00+00:00,105.80543193259085,49.79412748714401,1141.6074059394489,766.4793585310258,153.33604696466762,2786.8504841984964,5250.5319444613815,154.1667625868653,5250.5319444613815,154.1667625868653,5758.420811137353,135.4865893618401
2016-08-09 00:00:00+00:00,105.30250835378621,50.444248173068395,1130.337127551878,767.7351320026207,153.6610929760711,2585.4467708244797,5163.717892907554,153.6718497007938,5163.717892907554,153.6718497007938,5663.2091551652275,135.05164438511545
2016-08-10 00:00:00+00:00,106.02544117705774,50.36626182833256,1156.87553387699,773.3161581067822,154.98078115444596,2533.9097973755283,5399.222522547128,153.87916080771092,5399.222522547128,153.87916080771092,5921.494367936147,135.23383589216746
2016-08-11 00:00:00+00:00,105.54553711859404,50.550996114777206,1130.4546414114225,770.3967902619981,156.55210589927552,2545.507917216315,5147.12811740941,154.03528342199212,5147.12811740941,154.03528342199212,5645.014635163995,135.3710413453811
2016-08-12 00:00:00+00:00,105.42141446388702,52.1358677196325,1159.6975426657968,798.4218161841862,162.0439234472175,2623.609437889772,5210.336552947665,160.1129305388261,5210.336552947665,160.1129305388261,5714.337281801138,140.71226837374715
2016-08-13 00:00:00+00:00,105.04418415836273,51.761730867075414,1170.0430432924582,788.525261007919,162.6624036921798,2761.3628108658536,5365.238541153831,158.20950400901884,5365.238541153831,158.20950400901884,5884.223084231856,139.03947740183375
2016-08-14 00:00:00+00:00,102.5020101346849,52.21685497765477,1185.680848922313,812.7759359875345,166.95265574407918,2695.72954915153,5180.994692349149,167.87145311476536,5180.994692349149,167.87145311476536,5682.157155578647,147.5307015085064
2016-08-15 00:00:00+00:00,101.86692471678356,51.49660015648859,1200.2495595783955,794.2608416484752,162.56317077249932,2912.441866987574,5659.245117855392,156.50081628953347,5659.245117855392,156.50081628953347,6206.669192130586,137.53782900815295
2016-08-16 00:00:00+00:00,103.64661087921985,52.06829813036572,1214.1327440432824,798.400360960716,166.0404452416754,2876.812750641665,5635.121390501657,160.7883973012733,5635.121390501657,160.7883973012733,6180.211954063024,141.3058897635697
2016-08-17 00:00:00+00:00,102.85426801149946,51.49567379549023,1187.2893182224789,791.8305345500011,162.64817176525693,2727.844005224014,5468.30932366748,158.4383047266263,5468.30932366748,158.4383047266263,5997.2639999571475,139.24055465319466
2016-08-18 00:00:00+00:00,103.12205670570356,51.95065094054758,1184.19791643211,790.4895209370657,167.10013383860326,2723.2249984825517,5400.3322634533915,159.582799250736,5400.3322634533915,159.582799250736,5922.7114551184,140.2463723600272
2016-08-19 00:00:00+00:00,103.31018636625231,51.820931804018265,1169.022491417162,783.7253674896439,164.49758790318833,2744.7783011041447,5300.491795960572,158.44305224264735,5300.491795960572,158.44305224264735,5813.213325807748,139.24472691927093
2016-08-20 00:00:00+00:00,104.30288253770354,51.79661682064663,1178.8186137567855,779.7659017204436,163.82831866021837,2675.794290028391,5370.870110343067,158.99472168347043,5370.870110343067,158.99472168347043,5890.399400376904,139.7295513375703
2016-08-21 00:00:00+00:00,104.24416935921037,51.87885060715561,1156.3712883418393,776.1226610069584,163.22446241967432,2600.8072295269,5237.898595325534,156.87587309468458,5237.898595325534,156.87587309468458,5744.565426321542,137.86744069937754
2016-08-22 00:00:00+00:00,105.17890650656356,53.17158354555487,1144.1137604531773,779.2657375240577,165.23178440513823,2466.025379677904,5132.861306732168,156.69598973252846,5132.861306732168,156.69598973252846,5629.367782543845,137.70935355521934
2016-08-23 00:00:00+00:00,104.66825573573242,54.091821413538845,1116.9938073134017,775.7428476196303,162.5228866486637,2175.0832048674683,4955.125434791343,154.69329965768532,4955.125434791343,154.69329965768532,5434.43935344452,135.94932666462142
2016-08-24 00:00:00+00:00,104.16624488891478,54.2462992060887,1125.283146532034,782.4113053506193,162.73651761384036,2203.560998049675,4974.107176496847,156.39670503517937,4974.107176496847,156.39670503517937,5455.257216781951,137.4463327703782
2016-08-25 00:00:00+00:00,103.71448924200605,53.88205416565675,1129.5454470990458,784.6588715934904,159.52698403910193,2203.868355865543,4960.682295002042,158.00359822378047,4960.682295002042,158.00359822378047,5440.533733941647,138.85852093557796
2016-08-26 00:00:00+00:00,104.0139815234127,53.697850521762334,1129.4040752062801,784.3172985306874,161.02930967408554,2229.000009229294,5013.918253830234,156.26841907467855,5013.918253830234,156.26841907467855,5498.919256867658,137.3335910421378
2016-08-27 00:00:00+00:00,102.2975672242128,53.62831170568697,1118.1687342126545,774.1110181532769,158.2260613188496,2219.3831436035334,4956.774756871854,154.94028165333754,4956.774756871854,154.94028165333754,5436.2482159927595,136.16638219373294
2016-08-28 00:00:00+00:00,102.9397329122941,55.20678414595685,1120.3437615461103,770.3613660798975,158.84212810631075,2121.577760114951,5008.931228690833,153.9127298684274,5008.931228690833,153.9127298684274,5493.449832121335,135.26333743626324
2016-08-29 00:00:00+00:00,103.03335009766737,55.55923397354635,1116.9704083212055,777.611237233079,156.95625082113176,2144.979888584182,4923.306895952067,155.61690319845803,4923.306895952067,155.61690319845803,5399.542977578193,136.76101844281072
2016-08-30 00:00:00+00:00,103.64067314661153,55.86316284174349,1164.4352691175816,783.1878486711715,158.17285531833227,2440.074005890906,5270.559557325973,157.86652782519445,5270.559557325973,157.86652782519445,5780.385713729465,138.73805916745573
2016-08-31 00:00:00+00:00,103.26197031856364,55.55806533107004,1171.5751750701324,782.2352574014536,158.6531095473829,2534.362341409825,5391.770486025137,156.17191897575105,5391.770486025137,156.17191897575105,5913.321488950265,137.24878372662192
2016-09-01 00:00:00+00:00,102.64078041476805,54.749855132906944,1142.7407787004233,764.0376765270506,156.2606776742572,2421.6203668892417,5218.778583586055,153.49530980613494,5218.778583586055,153.49530980613494,5723.595917960403,134.8964955851259
2016-09-02 00:00:00+00:00,103.17044054939426,55.259199186407,1159.3793368049385,759.5335088115277,156.5752703083864,2572.873750738777,5389.65931221124,152.93919758112466,5389.65931221124,152.93919758112466,5911.0060993184225,134.4077667086496
