date,cap_weighted_index
2014-10-12,0.045225120452749054
2014-10-13,0.03287568908313176
2014-10-14,0.02649841525237824
2014-10-15,-0.015347065070886394
2014-10-16,-0.03261182190313779
2014-10-17,0.0030890943473340683
2014-10-18,0.01980863648317835
2014-10-19,-0.004423720772686912
2014-10-20,-0.0179249377161024
2014-10-21,0.009090050432696466
2014-10-22,-0.008918164252777971
2014-10-23,-0.06907841569058792
2014-10-24,-0.00025957959778333993
2014-10-25,-0.0305232008916675
2014-10-26,0.023087081770893768
2014-10-27,-0.007599017399706391
2014-10-28,0.014177761978857827
2014-10-29,-0.06553416687499983
2014-10-30,0.02938884950211531
2014-10-31,-0.02145969035448563
2014-11-01,-0.0376540373692559
2014-11-02,0.00027270291478572085
2014-11-03,0.004329030882269166
2014-11-04,0.00934512080772379
