,crypto_name,first_date_marketcap
1349,te-food,2018-03-10
1184,tokenomy,2018-03-10
154,shipchain,2018-03-10
799,ravencoin,2018-03-10
265,loom-network,2018-03-14
268,synthetix-network-token,2018-03-14
832,banca,2018-03-19
1436,nanjcoin,2018-03-20
862,dragon-coins,2018-03-20
871,napoleonx,2018-03-21
1434,bnktothefuture,2018-03-22
1029,wanchain,2018-03-23
836,amlt,2018-03-23
608,mithril,2018-03-24
516,peculium,2018-03-25
10,blitzpredict,2018-03-27
756,sentinel-chain,2018-04-02
937,friends,2018-04-04
1420,tokenpay,2018-04-05
1076,rentberry,2018-04-07
1035,polyswarm,2018-04-10
669,xinfin-network,2018-04-13
132,stakenet,2018-04-13
453,cortex,2018-04-16
758,u-network,2018-04-17
507,eosdac,2018-04-17
1333,sentinel,2018-04-17
1049,cybervein,2018-04-17
1269,auctus,2018-04-20
768,monero-classic,2018-04-20
615,fintrux-network,2018-04-23
649,haven-protocol,2018-04-23
376,dero,2018-04-23
556,aditus,2018-04-23
441,effect-ai,2018-04-24
425,dock,2018-04-25
926,masari,2018-04-25
870,holo,2018-04-30
298,rublix,2018-05-01
558,biotron,2018-05-01
1149,penta,2018-05-01
29,vipstar-coin,2018-05-01
235,lendingblock,2018-05-01
214,nexo,2018-05-01
1217,daex,2018-05-02
504,bitcoin-interest,2018-05-03
98,sharder,2018-05-03
778,amon,2018-05-03
377,morpheus-labs,2018-05-04
1061,crowd-machine,2018-05-04
1249,transcodium,2018-05-04
722,tripio,2018-05-09
537,parkgene,2018-05-10
1520,apr-coin,2018-05-10
920,boutspro,2018-05-10
383,fuzex,2018-05-10
561,daostack,2018-05-10
434,skrumble-network,2018-05-10
62,bezant,2018-05-11
286,sakura-bloom,2018-05-15
1277,global-social-chain,2018-05-15
1311,content-neutrality-network,2018-05-15
212,blockmesh,2018-05-21
1095,loki,2018-05-21
703,unibright,2018-05-21
892,callisto-network,2018-05-22
408,libra-credit,2018-05-22
554,xyo,2018-05-22
1126,patron,2018-05-22
576,open-platform,2018-05-22
1395,red,2018-05-23
1219,digitex-futures,2018-05-23
192,iotex,2018-05-25
927,nkn,2018-05-28
1306,phantasma,2018-05-28
1156,spindle,2018-05-28
1463,faceter,2018-05-28
165,travala,2018-05-28
1152,endor-protocol,2018-05-31
728,seele,2018-05-31
946,quarkchain,2018-06-04
796,bigbom,2018-06-04
505,0xbtc,2018-06-04
247,pchain,2018-06-04
1472,ether-zero,2018-06-05
1325,cryptaur,2018-06-05
959,mybit,2018-06-08
231,ceek-vr,2018-06-11
1176,gochain,2018-06-13
436,smartshare,2018-06-15
1201,xmax,2018-06-15
829,sentinel-protocol,2018-06-18
1396,constellation,2018-06-20
981,merculet,2018-06-20
1418,metronome,2018-06-26
657,aurora,2018-06-26
444,rate3,2018-06-27
117,origin-sport,2018-06-27
1168,egretia,2018-07-02
86,0chain,2018-07-02
66,bobs-repair,2018-07-03
1346,cardstack,2018-07-03
503,gonetwork,2018-07-05
512,project-pai,2018-07-05
915,mainframe,2018-07-05
67,essentia,2018-07-06
1375,fanstime,2018-07-06
1369,hashcoin,2018-07-10
356,likecoin,2018-07-10
1020,moss-coin,2018-07-11
469,0xcert,2018-07-12
243,oneledger,2018-07-12
347,bitmart-token,2018-07-13
354,everipedia,2018-07-13
467,hashgard,2018-07-18
152,rocket-pool,2018-07-18
1294,tgame,2018-07-18
119,vite,2018-07-18
1309,contentbox,2018-07-19
1105,kryll,2018-07-19
1064,elysian,2018-07-19
996,turtlecoin,2018-07-23
807,cosmo-coin,2018-07-23
990,fox-trading,2018-07-25
919,zper,2018-07-25
52,local-coin-swap,2018-07-25
1259,ryo-currency,2018-07-27
450,mvl,2018-07-27
536,nix,2018-07-28
115,bitkan,2018-07-30
1478,aced,2018-07-30
1460,horuspay,2018-07-30
1285,vethor-token,2018-07-30
1092,pigeoncoin,2018-07-30
197,master-contract-token,2018-07-31
1295,niobio-cash,2018-07-31
602,vexanium,2018-07-31
1005,atc-coin,2018-07-31
1521,arionum,2018-08-01
662,neurochain,2018-08-01
170,exmr,2018-08-01
331,you-coin,2018-08-01
667,semux,2018-08-02
1501,dacsee,2018-08-02
273,webcoin,2018-08-02
1198,bitcapitalvendor,2018-08-02
770,litex,2018-08-02
956,bitblocks,2018-08-03
1145,bhp-coin,2018-08-03
749,vechain,2018-08-03
902,euno,2018-08-03
106,kind-ads-token,2018-08-03
1522,vinchain,2018-08-06
1264,niobium-coin,2018-08-06
454,omnitude,2018-08-06
38,ice-rock-mining,2018-08-07
898,giant-coin,2018-08-07
762,pundi-x-nem,2018-08-07
1157,scorum-coins,2018-08-07
874,nuggets,2018-08-07
127,graviocoin,2018-08-07
1310,owndata,2018-08-08
339,themis,2018-08-09
1008,thingschain,2018-08-09
970,proximax,2018-08-09
1282,igtoken,2018-08-09
326,meetone,2018-08-10
958,hycon,2018-08-10
121,blockpass,2018-08-10
750,dxchain-token,2018-08-10
1044,quant,2018-08-10
1088,baasid,2018-08-10
187,airbloc,2018-08-13
794,pumapay,2018-08-13
876,davinci-coin,2018-08-13
677,ubex,2018-08-13
557,ttc-protocol,2018-08-14
480,heartbout,2018-08-14
1425,gold-poker,2018-08-16
176,hitchain,2018-08-16
1122,arbidex,2018-08-16
18,showhand,2018-08-16
1543,dprating,2018-08-20
1067,nasdacoin,2018-08-22
172,ontology-gas,2018-08-23
668,energi,2018-08-24
1106,dav-coin,2018-08-24
771,moneytoken,2018-08-30
906,ailink-token,2018-09-05
1031,fire-lotto,2018-09-05
779,ulord,2018-09-07
801,parkingo,2018-09-07
863,hashnet-biteco,2018-09-07
1529,cybermusic,2018-09-07
736,evencoin,2018-09-11
848,amo-coin,2018-09-11
442,rotharium,2018-09-12
74,birake,2018-09-13
365,eden,2018-09-17
158,invictus-hyperion-fund,2018-09-17
1519,uchain,2018-09-17
741,six,2018-09-21
293,smartofgiving,2018-09-21
493,paycent,2018-09-21
1380,iqeon,2018-09-24
1467,zb,2018-09-27
631,the-midas-touch-gold,2018-09-27
707,midasprotocol,2018-09-27
270,safeinsure,2018-10-01
145,mir-coin,2018-10-03
1204,free-coin,2018-10-05
27,tolar,2018-10-05
632,neural-protocol,2018-10-05
699,metadium,2018-10-09
1401,sharpay,2018-10-10
1231,rapids,2018-10-11
310,coinsuper-ecosystem-network,2018-10-11
155,snetwork,2018-10-11
980,eunomia,2018-10-11
738,divi,2018-10-12
1263,abbc-coin,2018-10-12
1200,mmocoin,2018-10-15
1141,iridium,2018-10-17
985,fivebalance,2018-10-18
1343,helium,2018-10-18
1392,box-token,2018-10-19
717,zbg-token,2018-10-23
1326,vetri,2018-10-23
726,ionchain,2018-10-26
105,microbitcoin,2018-10-26
252,fantom,2018-10-30
975,kleros,2018-11-01
702,nerva,2018-11-07
164,humanscape,2018-11-08
1188,bitcoin-sv,2018-11-09
343,cwv-chain,2018-11-16
1452,ilcoin,2018-11-27
1541,hyperquant,2018-11-27
1221,atlas-protocol,2018-11-28
684,quadrantprotocol,2018-12-04
1350,machine-xchange-coin,2018-12-07
860,foam,2018-12-11
979,kambria,2018-12-13
914,crypto-com-coin,2018-12-14
1093,aergo,2018-12-17
646,livepeer,2018-12-19
494,cova,2018-12-26
1115,lambda,2019-01-02
443,footballcoin,2019-01-03
679,fountain,2019-01-03
1216,atomic-wallet-coin,2019-01-04
194,hyperion,2019-01-14
546,rif-token,2019-01-16
1147,adamant-messenger,2019-01-17
232,beam,2019-01-17
1079,grin,2019-01-27
409,plair,2019-01-28
640,wrapped-bitcoin,2019-01-30
1344,cloudbric,2019-01-30
1226,bittorrent,2019-01-31
1000,cajutel,2019-01-31
534,huobi-pool-token,2019-02-01
93,temco,2019-02-04
550,solve,2019-02-04
53,lto-network,2019-02-06
949,s4fe,2019-02-07
1292,kickico,2019-02-08
798,thrive-token,2019-02-08
720,atlantis-blue-digital-token,2019-02-08
123,distributed-credit-chain,2019-02-08
1323,dadi,2019-02-08
406,etheera,2019-02-08
149,autonio,2019-02-08
806,data-exchange,2019-02-08
810,brahmaos,2019-02-08
743,amoveo,2019-02-08
814,snowgem,2019-02-08
729,shift,2019-02-08
395,canyacoin,2019-02-08
1303,online,2019-02-08
361,hurify,2019-02-08
403,trade-token-x,2019-02-08
364,flo,2019-02-08
1284,lykke,2019-02-08
1315,ternio,2019-02-08
384,burst,2019-02-08
1283,dao-casino,2019-02-08
104,qunqun,2019-02-08
761,tierion,2019-02-08
1014,experty,2019-02-08
128,daps-token,2019-02-08
100,valuecybertoken,2019-02-08
1280,bodhi,2019-02-08
1276,coinvest,2019-02-08
146,formosa-financial,2019-02-08
1271,cashbet-coin,2019-02-08
773,indahash,2019-02-08
774,darcio-ecosystem-coin,2019-02-08
1313,nos,2019-02-08
1255,banyan-network,2019-02-08
141,proxeus,2019-02-08
740,business-credit-alliance-chain,2019-02-08
1240,nectar,2019-02-08
1236,coinus,2019-02-08
1235,soarcoin,2019-02-08
1234,incodium,2019-02-08
392,block-array,2019-02-08
1268,paragon,2019-02-08
399,ormeus-coin,2019-02-08
846,iconomi,2019-02-08
1215,mercury,2019-02-08
217,uttoken,2019-02-08
957,axpire,2019-02-08
953,observer,2019-02-08
952,betterbetting,2019-02-08
1098,switcheo,2019-02-08
206,neumark,2019-02-08
288,bridgecoin,2019-02-08
290,popchain,2019-02-08
934,zelcash,2019-02-08
291,aidos-kuneen,2019-02-08
928,sdchain,2019-02-08
1111,traceability-chain,2019-02-08
202,zip,2019-02-08
923,liquidity-network,2019-02-08
922,rchain,2019-02-08
960,swarm-fund,2019-02-08
1119,eligma-token,2019-02-08
223,leocoin,2019-02-08
1070,xriba,2019-02-08
253,proton-token,2019-02-08
1036,silent-notary,2019-02-08
1037,guppy,2019-02-08
1047,unobtanium,2019-02-08
1048,wollo,2019-02-08
994,bodhi-eth,2019-02-08
993,hedgetrade,2019-02-08
989,shard,2019-02-08
987,phi-token,2019-02-08
1058,starta,2019-02-08
982,paccoin,2019-02-08
228,quasarcoin,2019-02-08
226,apis,2019-02-08
1068,eristica,2019-02-08
968,ela-coin,2019-02-08
966,bankex,2019-02-08
201,library-credit,2019-02-08
911,iconiq-lab-token,2019-02-08
1127,relex,2019-02-08
854,blockchain-certified-data-token,2019-02-08
853,leverj,2019-02-08
167,spendcoin,2019-02-08
851,quanta-utility-token,2019-02-08
1185,privcy,2019-02-08
340,inmax,2019-02-08
840,heronode,2019-02-08
1192,red-pulse,2019-02-08
159,aphelion,2019-02-08
1203,decent,2019-02-08
830,inflationcoin,2019-02-08
352,lisk-machine-learning,2019-02-08
156,debitum-network,2019-02-08
826,olive,2019-02-08
1212,bitcoin-token,2019-02-08
1175,incent,2019-02-08
865,safe-exchange-coin,2019-02-08
867,radium,2019-02-08
178,novacoin,2019-02-08
909,wibson,2019-02-08
908,solarcoin,2019-02-08
193,eccoin,2019-02-08
905,adtoken,2019-02-08
315,hydrogen,2019-02-08
1130,smartlands,2019-02-08
1132,dignity,2019-02-08
818,budbo,2019-02-08
897,wixlar,2019-02-08
1136,naga,2019-02-08
894,newyorkcoin,2019-02-08
322,everus,2019-02-08
889,salus,2019-02-08
1146,cononchain,2019-02-08
881,dex,2019-02-08
869,encrypgen,2019-02-08
320,zmine,2019-02-08
1327,yeed,2019-02-08
382,electra,2019-02-08
711,zippie,2019-02-08
45,linda,2019-02-08
1437,stronghold-token,2019-02-08
607,narrative,2019-02-08
40,ucash,2019-02-08
424,pal-network,2019-02-08
1444,clearpoll,2019-02-08
39,syncfab,2019-02-08
712,blox,2019-02-08
1387,blockport,2019-02-08
1385,tokenstars,2019-02-08
1447,visionx,2019-02-08
1384,consensus,2019-02-08
37,flash,2019-02-08
596,poa-network,2019-02-08
421,e-dinar-coin,2019-02-08
1382,sonm,2019-02-08
670,faircoin,2019-02-08
1381,rightmesh,2019-02-08
71,weshow-token,2019-02-08
429,loopring-neo,2019-02-08
1378,jibrel-network,2019-02-08
456,xtrabytes,2019-02-08
452,farmatrust,2019-02-08
1406,minexcoin,2019-02-08
638,ivy,2019-02-08
1404,zebi,2019-02-08
1414,1337coin 2,2019-02-08
1402,bhpcash,2019-02-08
1415,copytrack,2019-02-08
435,life,2019-02-08
440,1world,2019-02-08
433,universa,2019-02-08
57,suqa,2019-02-08
60,datawallet,2019-02-08
1417,1337coin,2019-02-08
1422,snapcoin,2019-02-08
1424,apex,2019-02-08
47,blocktrade-token,2019-02-08
1426,commerceblock,2019-02-08
618,stellite,2019-02-08
1427,1337coin 3,2019-02-08
449,hold,2019-02-08
614,timicoin,2019-02-08
55,b2bx,2019-02-08
594,atn,2019-02-08
1458,fantasygold,2019-02-08
692,odem,2019-02-08
1504,bitguild-plat,2019-02-08
1347,insolar,2019-02-08
1505,lockchain,2019-02-08
1507,couchain,2019-02-08
1508,blue-whale-token,2019-02-08
1523,invacio,2019-02-08
92,zen-protocol,2019-02-08
11,pikciochain,2019-02-08
525,bulwark,2019-02-08
1528,boscoin,2019-02-08
497,morpheus-network,2019-02-08
1530,lightpaycoin,2019-02-08
1531,t-os,2019-02-08
95,mooncoin,2019-02-08
709,ion,2019-02-08
7,nebula-ai,2019-02-08
1540,massgrid,2019-02-08
1329,skychain,2019-02-08
19,content-value-network,2019-02-08
1456,robotina,2019-02-08
690,dew,2019-02-08
413,cvcoin,2019-02-08
462,sureremit,2019-02-08
33,aencoin,2019-02-08
1465,polybius,2019-02-08
577,drp-utility,2019-02-08
575,howdoo,2019-02-08
1470,bridge-protocol,2019-02-08
76,fluz-fluz,2019-02-08
569,crycash,2019-02-08
541,gincoin,2019-02-08
680,pepe-cash,2019-02-08
474,avinoc,2019-02-08
563,the-abyss,2019-02-08
682,own,2019-02-08
1483,pundi-x,2019-02-08
1485,spankchain,2019-02-08
1496,ndex,2019-02-08
1354,internet-node-token,2019-02-08
487,pura,2019-02-08
20,ugchain,2019-02-08
567,cashaa,2019-02-08
1407,white-standard,2019-02-08
815,vegawallet-token,2019-02-11
1017,flowchain,2019-02-12
169,hxro,2019-02-15
691,everycoin,2019-02-20
1489,platoncoin,2019-02-20
236,arbitrage,2019-02-21
1305,metahash,2019-02-21
1101,scanet-world-coin,2019-02-22
1021,gmb,2019-02-22
418,max-property-group,2019-02-22
875,oduwa,2019-02-25
1019,experience-chain,2019-02-25
850,stakinglab,2019-02-25
619,serve,2019-02-26
24,pibble,2019-02-28
776,hashsbx,2019-03-01
1123,fetch,2019-03-02
1062,maincoin,2019-03-04
1265,v-systems,2019-03-05
804,ankr,2019-03-06
64,aidus-token,2019-03-07
857,onotoken,2019-03-07
604,cotrader,2019-03-07
439,sparkle,2019-03-08
785,win-win,2019-03-11
823,araw,2019-03-12
484,cosmos,2019-03-14
464,bora,2019-03-18
278,bitex-global-xbx-coin,2019-03-19
737,tigercash,2019-03-19
1224,boat-pilot-token,2019-03-20
14,dos-network,2019-03-22
1324,intellishare,2019-03-22
562,flexacoin,2019-03-23
583,pton,2019-03-25
878,celer-network,2019-03-25
1423,qredit,2019-03-26
1214,olxa,2019-03-27
1431,theta-fuel,2019-03-28
884,top,2019-03-28
1432,nash-exchange,2019-04-01
687,safe-haven,2019-04-02
1012,verasity,2019-04-03
704,orbs,2019-04-03
586,bitcoin-rhodium,2019-04-04
189,caspian,2019-04-05
940,v-id,2019-04-05
731,veriblock,2019-04-05
351,bolt,2019-04-05
974,contents-protocol,2019-04-08
338,otocash,2019-04-09
46,fatcoin,2019-04-10
1474,unification,2019-04-11
606,paytomat,2019-04-11
248,fnb-protocol,2019-04-11
1167,multivac,2019-04-11
99,sf-capital,2019-04-12
220,neoworld-cash,2019-04-16
1110,alpha-token,2019-04-16
552,ugas,2019-04-16
135,lition,2019-04-17
1179,newton,2019-04-17
203,valor-token,2019-04-18
269,irisnet,2019-04-18
466,esbc,2019-04-22
520,oceanex-token,2019-04-23
962,quickx-protocol,2019-04-25
1065,function-x,2019-04-25
1334,wpp-token,2019-04-26
465,matic-network,2019-04-28
571,now-token,2019-04-29
372,okb,2019-04-30
1051,electronic-energy-coin,2019-05-02
280,monero-v,2019-05-02
578,titan-coin,2019-05-06
585,diamond-platform-token,2019-05-06
1006,ocean-protocol,2019-05-06
1513,sentivate,2019-05-06
1247,drep,2019-05-07
1050,axe,2019-05-08
1164,merebel,2019-05-08
328,idex,2019-05-09
623,peos,2019-05-09
139,thunder-token,2019-05-10
715,bqt,2019-05-10
476,connect-coin,2019-05-14
1158,safex-token,2019-05-15
1131,carry,2019-05-17
262,artfinity,2019-05-17
428,asian-fintech,2019-05-20
1154,evedo,2019-05-21
431,kuende,2019-05-21
1108,tera,2019-05-21
1371,unus-sed-leo,2019-05-21
1450,redfox-labs,2019-05-22
805,coineal-token,2019-05-22
1143,pirate-chain,2019-05-22
68,bomb,2019-05-22
215,vodi-x,2019-05-23
371,touchcon,2019-05-24
954,trias,2019-05-24
8,reserve-rights,2019-05-24
1518,dreamteam-token,2019-05-24
1025,bitcoin-confidential,2019-05-28
120,chromia,2019-05-28
249,harmony,2019-06-01
1009,vnt-chain,2019-06-03
965,origo,2019-06-03
495,coti,2019-06-04
1445,webflix-token,2019-06-04
312,tcash,2019-06-06
35,krios,2019-06-06
1273,menapay,2019-06-10
1253,zenon,2019-06-12
754,stpt,2019-06-12
983,bitcoin-bep2,2019-06-18
51,raven-protocol,2019-06-19
186,contentos,2019-06-20
1442,honest,2019-06-20
1087,jarvis,2019-06-20
82,moviebloc,2019-06-21
524,algorand,2019-06-21
1457,naka-bodhi-token,2019-06-24
196,parachute,2019-06-25
766,q-dao-governance-token,2019-06-26
498,aladdin,2019-06-27
124,ampleforth,2019-06-28
1227,liquid-apps,2019-06-28
316,chiliz,2019-07-01
819,silverway,2019-07-03
1495,wirex-token,2019-07-09
755,pixel,2019-07-10
318,dusk-network,2019-07-11
289,spiking,2019-07-15
1288,arpa-chain,2019-07-15
879,fleta,2019-07-16
742,pivot-token,2019-07-17
1190,prometeus,2019-07-17
25,forceprotocol,2019-07-17
701,qiibee,2019-07-18
1454,winstars-live,2019-07-19
951,akropolis,2019-07-19
360,super-zero,2019-07-19
1096,cubiex,2019-07-22
211,boom,2019-07-23
1466,imagecoin,2019-07-23
696,thorchain,2019-07-23
811,bitrue-coin,2019-07-25
843,levolution,2019-07-26
813,luna,2019-07-26
1340,gowithmi,2019-07-29
1320,ddkoin,2019-07-29
150,blockburn,2019-07-30
1077,ultra,2019-07-30
508,ftx-token,2019-07-31
518,noia-network,2019-07-31
