date,perf
2017-02-07,0.02036539384525915
2017-02-08,0.0012465156421610083
2017-02-09,-0.06371316408728356
2017-02-10,-0.004314670230540325
2017-02-11,0.015490192461275056
2017-02-12,-0.004795340852715213
2017-02-13,-0.009115669266917072
2017-02-14,0.0231486877953891
2017-02-15,0.0035529623340649027
2017-02-16,0.01657820565999293
2017-02-17,0.01515669823929316
2017-02-18,0.006957226227900797
2017-02-19,-0.0051894912184386
2017-02-20,0.02452537450498243
2017-02-21,0.029261250954595645
2017-02-22,0.0024073230443374433
2017-02-23,0.042649649031034756
2017-02-24,0.0043026374406481705
2017-02-25,-0.02100371881360161
2017-02-26,0.021365087479332495
2017-02-27,0.014804606298034975
2017-02-28,0.0032402905196527
2017-03-01,0.04162461116014894
2017-03-02,0.029588698384855783
